species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
pla1pi,Fabaceae-papilionoideae,Platymiscium,pinnatum,Platymiscium pinnatum polystachyum,Platymiscium pinnatum,0.761,0.1452,29.7,33.4,NA,0.0077,300,tree,bisex,31,8.102903,9.252612,185
pla2el,Fabaceae-papilionoideae,Platypodium,elegans,Platypodium elegans,Platypodium elegans,0.703,0.334896,35.1,36.1,NA,0.0087,300,tree,bisex,26,13.159656,13.617943,146
pterro,Fabaceae-papilionoideae,Pterocarpus,rohrii,Pterocarpus rohrii,Pterocarpus rohrii,0.496,0.17262,20.3,27.3,0.032,0.0044,300,tree,bisex,6,1.073977,3.834009,1807
quaras,Malvaceae,Quararibea,asterolepis,Quararibea asterolepis,Quararibea asterolepis,0.468,0.079973,33.5,47.8,0.031,0.0126,300,tree,bisex,347,86.337554,98.965896,2366
sponmo,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,NA,NA,NA,NA,NA,NA,300,tree,bisex,15,4.19328,4.694641,106
sponra,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,Spondias radlkoferi,0.363,0.01695,30.8,48.4,NA,0.0186,300,tree,bisex,25,5.925459,7.13128,225
sympgl,Clusiaceae,Symphonia,globulifera,Symphonia globulifera,Symphonia globulifera,0.545,1.02895,28,57.9,0.043,NA,300,tree,bisex,9,1.315376,1.897366,170
tab1gu,Bignoniaceae,Tabebuia,guayacan,Tabebuia guayacan,Tabebuia guayacan,0.79,NA,36.8,22.9,NA,0.0123,300,tree,bisex,19,8.183011,8.610327,80
tab1ro,Bignoniaceae,Tabebuia,rosea,Tabebuia rosea,Tabebuia rosea,0.489,0.018505,40.4,37.3,0.037,0.0092,300,tree,bisex,21,4.426286,5.934333,286
tab2ar,Apocynaceae,Tabernaemontana,arborea,Tabernaemontana arborea,Tabernaemontana arborea,0.538,0.068031,28.1,32.9,0.037,0.0232,300,tree,bisex,143,20.109843,26.336622,1602
